epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.34396085143089294,1.668172001838684,0.42685025930404663,1.5288078784942627,0.0010000000474974513
2,0.38937249779701233,1.5649782419204712,0.42606791853904724,1.5050548315048218,0.0010000000474974513
3,0.4006991684436798,1.5412486791610718,0.43780314922332764,1.4725837707519531,0.0010000000474974513
4,0.404439777135849,1.5301836729049683,0.4226255714893341,1.5081361532211304,0.0010000000474974513
5,0.41307464241981506,1.5114847421646118,0.4443748891353607,1.4751845598220825,0.0010000000474974513
6,0.4142632484436035,1.5145183801651,0.4623689651489258,1.4415901899337769,0.0010000000474974513
7,0.41650059819221497,1.5046454668045044,0.45219841599464417,1.458836317062378,0.0010000000474974513
8,0.41845831274986267,1.5004504919052124,0.450633704662323,1.4440734386444092,0.0010000000474974513
9,0.4239118993282318,1.4844709634780884,0.45282429456710815,1.4372090101242065,0.00020000000949949026
10,0.43062400817871094,1.4722137451171875,0.45798778533935547,1.4313325881958008,0.00020000000949949026
11,0.43079879879951477,1.470045804977417,0.45329368114471436,1.4340909719467163,4.0000002627493814e-05
12,0.34228283166885376,1.6571661233901978,0.42106086015701294,1.5597506761550903,9.999999747378752e-06
13,0.3970634639263153,1.551534652709961,0.43608197569847107,1.478813648223877,9.999999747378752e-06
14,0.42614927887916565,1.490398645401001,0.45266780257225037,1.4234282970428467,9.999999747378752e-06
15,0.447544127702713,1.4447095394134521,0.4572054445743561,1.4027674198150635,9.999999747378752e-06
16,0.46026918292045593,1.409824252128601,0.4675324559211731,1.3752704858779907,9.999999747378752e-06
17,0.4691137969493866,1.3834718465805054,0.4784853756427765,1.3487915992736816,9.999999747378752e-06
18,0.4793917238712311,1.3619623184204102,0.48552653193473816,1.3299055099487305,9.999999747378752e-06
19,0.48834121227264404,1.3381456136703491,0.49131590127944946,1.3201031684875488,9.999999747378752e-06
20,0.4950183629989624,1.3136895895004272,0.4944453239440918,1.3073275089263916,9.999999747378752e-06
21,0.5046670436859131,1.3000589609146118,0.5061805844306946,1.2847315073013306,9.999999747378752e-06
22,0.5129872560501099,1.2772144079208374,0.5108746886253357,1.2730497121810913,9.999999747378752e-06
23,0.5162383913993835,1.2692005634307861,0.513534665107727,1.268865942955017,9.999999747378752e-06
24,0.5186156034469604,1.2546550035476685,0.5252699255943298,1.2446632385253906,9.999999747378752e-06
25,0.5302919149398804,1.238948106765747,0.5283992886543274,1.234166145324707,9.999999747378752e-06
26,0.5311658978462219,1.2276681661605835,0.5258957743644714,1.2395946979522705,9.999999747378752e-06
27,0.5377032160758972,1.2153147459030151,0.5315287113189697,1.2218056917190552,9.999999747378752e-06
28,0.5379129648208618,1.2093408107757568,0.5329369306564331,1.2169578075408936,9.999999747378752e-06
29,0.5473169088363647,1.1914576292037964,0.5377874970436096,1.2066274881362915,9.999999747378752e-06
30,0.5490298867225647,1.1823995113372803,0.5413863062858582,1.2013167142868042,9.999999747378752e-06
